date,strike,precio,interest_rate,underlying_price,fecha_actual,dias_vencimiento,volatility
2022-06-24,8000.00,127.00,0,8039.6,2022-06-24,0,0
2022-06-24,8100.00,50.00,0,8039.6,2022-06-24,0,0
2022-06-24,8200.00,10.00,0,8039.6,2022-06-24,0,0
2022-06-24,8400.00,0,0,8039.6,2022-06-24,0,0
2022-06-24,8500.00,0,0,8039.6,2022-06-24,0,0
2022-06-24,8600.00,0,0,8039.6,2022-06-24,0,0
2022-01-07,7300.00,795.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,7400.00,697.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,7500.00,600.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,7600.00,504.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,7700.00,412.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,7800.00,325.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,7900.00,245.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8000.00,173.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8100.00,114.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8200.00,69.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8300.00,37.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8400.00,17.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8500.00,7.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8600.00,2.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8700.00,1.00,0,8039.6,2022-06-24,-168,500.0
2022-01-07,8800.00,0,0,8039.6,2022-06-24,-168,0
2022-01-07,8900.00,0,0,8039.6,2022-06-24,-168,0
2022-01-07,9000.00,0,0,8039.6,2022-06-24,-168,0
2022-01-07,9100.00,0,0,8039.6,2022-06-24,-168,0
2022-01-07,9200.00,0,0,8039.6,2022-06-24,-168,0
2022-08-07,7300.00,752.00,0,8039.6,2022-06-24,44,17.913818359375
2022-08-07,7400.00,658.00,0,8039.6,2022-06-24,44,17.4560546875
2022-08-07,7500.00,566.00,0,8039.6,2022-06-24,44,16.90673828125
2022-08-07,7600.00,477.00,0,8039.6,2022-06-24,44,16.3116455078125
2022-08-07,7700.00,393.00,0,8039.6,2022-06-24,44,15.838623046875
2022-08-07,7800.00,314.00,0,8039.6,2022-06-24,44,15.289306640625
2022-08-07,7900.00,242.00,0,8039.6,2022-06-24,44,14.74761962890625
2022-08-07,8000.00,178.00,0,8039.6,2022-06-24,44,14.1754150390625
2022-08-07,8100.00,125.00,0,8039.6,2022-06-24,44,13.7176513671875
2022-08-07,8200.00,82.00,0,8039.6,2022-06-24,44,13.214111328125
2022-08-07,8300.00,51.00,0,8039.6,2022-06-24,44,12.87078857421875
2022-08-07,8400.00,29.00,0,8039.6,2022-06-24,44,12.481689453125
2022-08-07,8500.00,14.00,0,8039.6,2022-06-24,44,11.90185546875
2022-08-07,8600.00,6.00,0,8039.6,2022-06-24,44,11.41357421875
2022-08-07,8700.00,2.00,0,8039.6,2022-06-24,44,10.80322265625
2022-08-07,8800.00,1.00,0,8039.6,2022-06-24,44,10.986328125
2022-08-07,8900.00,0,0,8039.6,2022-06-24,44,0
2022-08-07,9000.00,0,0,8039.6,2022-06-24,44,0
2022-08-07,9100.00,0,0,8039.6,2022-06-24,44,0
2022-08-07,9200.00,0,0,8039.6,2022-06-24,44,0
